,Timestep,Nearest Neighbor,Distance
0,29.6799993366003,1,17.530544087392155
1,29.6999993361533,1,17.534781244698078
2,29.7199993357062,1,17.53567793175524
3,29.7399993352592,1,17.535890197202583
4,29.7599993348122,1,17.535894404874174
5,29.7799993343651,1,17.535901294102434
6,29.7999993339181,1,17.535902781234217
7,29.8199993334711,1,17.535903115599552
8,29.839999333024,1,17.535903104476834
9,29.859999332577,1,17.535903104369076
10,29.87999933213,1,17.535903104387287
11,29.8999993316829,1,17.535903104387287
12,29.9199993312359,1,17.535903104387287
13,29.9399993307889,1,17.535903104387287
14,29.9599993303418,1,17.535903104387287
15,29.9799993298948,1,17.535903104387287
16,29.9999993294477,1,17.535903104387287
17,30.0199993290007,1,17.535903104387287
18,30.0399993285537,1,17.535903104387287
19,30.0599993281066,1,17.535903104387287
20,30.0799993276596,1,17.535903104387287
21,30.0999993272126,1,17.535903104387287
22,30.1199993267655,1,17.535903104387287
23,30.1399993263185,1,17.535903104387287
24,30.1599993258715,1,17.535903104387287
25,30.1799993254244,1,17.535903104387287
26,30.1999993249774,1,17.535903104387287
27,30.2199993245304,1,17.535903104387287
28,30.2399993240833,1,17.535903104387287
29,30.2599993236363,1,17.535903104387287
30,30.2799993231893,1,17.535903104387287
31,30.2999993227422,1,17.535903104387287
32,30.3199993222952,1,17.535903104387287
33,30.3399993218482,1,17.535903104387287
34,30.3599993214011,1,17.535903104387287
35,30.3799993209541,1,17.535903104387287
36,30.3999993205071,1,17.535903104387287
37,30.41999932006,1,17.535903104387287
38,30.439999319613,1,17.535903104387287
39,30.4599993191659,1,17.535903104387287
40,30.4799993187189,1,17.535903104387287
41,30.4999993182719,1,17.535903104387287
42,30.5199993178248,1,17.535903104387287
43,30.5399993173778,1,17.535903104387287
44,30.5599993169308,1,17.535903104387287
45,30.5799993164837,1,17.535903104387287
46,30.5999993160367,1,17.535903104387287
47,30.6199993155897,1,17.535903104387287
48,30.6399993151426,1,17.535903104387287
49,30.6599993146956,1,17.535903104387287
