(0,0,0),3322.41992573813
(0,0,0),3322.43992573768
(0,0,0),3322.45992573723
(0,0,0),3322.47992573678
(0,0,0),3322.49992573634
(0,0,0),3322.51992573589
(0,0,0),3322.53992573544
(0,0,0),3322.559925735
(0,0,0),3322.57992573455
(0,0,0),3322.5999257341
(0,0,0),3322.61992573366
(0,0,0),3322.63992573321
(0,0,0),3322.65992573276
(0,0,0),3322.67992573231
(-0.1071528,-0.04514694,0.3117457),3322.69992573187
(-0.1071528,-0.04514694,0.3117457),3322.71992573142
(-0.2682304,-0.1130133,0.7803738),3322.73992573097
(-0.2682304,-0.1130133,0.7803738),3322.75992573053
(-0.3759839,-0.1584129,1.093867),3322.77992573008
(-0.4296049,-0.1810055,1.24987),3322.79992572963
(-0.4832258,-0.203598,1.405872),3322.81992572919
(-0.5368468,-0.2261906,1.561875),3322.83992572874
(-0.6438824,-0.2712879,1.873278),3322.85992572829
(-0.6978368,-0.2940197,2.03025),3322.87992572784
(-0.7516556,-0.3166952,2.186827),3322.8999257274
(-0.8054412,-0.3393564,2.343308),3322.91992572695
(-0.9126834,-0.3845415,2.655316),3322.9399257265
(-0.9663045,-0.4071341,2.81132),3322.95992572606
(-1.019926,-0.4297266,2.967324),3322.97992572561
(-1.073547,-0.4523191,3.123328),3322.99992572516
(-1.073547,-0.4523191,3.123329),3323.01992572472
(-1.234446,-0.5201111,3.591441),3323.03992572427
(-1.288334,-0.5428152,3.74822),3323.05992572382
(-1.288334,-0.5428152,3.748222),3323.07992572337
(-1.395544,-0.587986,4.060133),3323.09992572293
(-1.449165,-0.6105785,4.216137),3323.11992572248
(-1.556476,-0.6557913,4.528345),3323.13992572203
(-1.610166,-0.6784124,4.684549),3323.15992572159
(-1.664014,-0.7010994,4.841209),3323.17992572114
(-1.664015,-0.7010994,4.841211),3323.19992572069
(-1.771087,-0.746212,5.15272),3323.21992572024
(-1.82497,-0.7689142,5.309484),3323.2399257198
(-1.932128,-0.8140621,5.621244),3323.25992571935
(-1.985942,-0.8367348,5.777808),3323.2799257189
(-1.985943,-0.8367348,5.77781),3323.29992571846
(-2.093123,-0.8818932,6.089634),3323.31992571801
(-2.147014,-0.9045982,6.24642),3323.33992571756
(-2.25427,-0.9497871,6.558464),3323.35992571712
(-2.308116,-0.9724731,6.71512),3323.37992571667
(-2.308117,-0.9724731,6.715122),3323.39992571622
(-2.415342,-1.01765,7.027077),3323.41992571577
(-2.469108,-1.040302,7.1835),3323.43992571533
(-2.576231,-1.085436,7.495156),3323.45992571488
(-2.576232,-1.085436,7.495158),3323.47992571443
(-2.683563,-1.130657,7.807419),3323.49992571399
(-2.737242,-1.153273,7.96359),3323.51992571354
(-2.844764,-1.198574,8.276407),3323.53992571309
(-2.898387,-1.221167,8.432416),3323.55992571265
(-2.898387,-1.221167,8.432419),3323.5799257122
(-3.005792,-1.266419,8.744896),3323.59992571175
(-3.059482,-1.28904,8.901097),3323.6199257113
(-3.166677,-1.334204,9.212966),3323.63992571086
(-3.2203,-1.356796,9.368975),3323.65992571041
(-3.220301,-1.356796,9.368978),3323.67992570996
(-3.327669,-1.402033,9.681351),3323.69992570952
(-3.327671,-1.402033,9.681354),3323.71992570907
(-3.488805,-1.469923,10.15015),3323.73992570862
(-3.488806,-1.469923,10.15015),3323.75992570817
(-3.596052,-1.515108,10.46216),3323.77992570773
(-3.649985,-1.537831,10.61907),3323.79992570728
(-3.649986,-1.537831,10.61908),3323.81992570683
(-3.757234,-1.583017,10.9311),3323.83992570639
(-3.864514,-1.628217,11.24321),3323.85992570594
(-3.918283,-1.65087,11.39965),3323.87992570549
(-3.918285,-1.65087,11.39965),3323.89992570505
(-4.025459,-1.696025,11.71145),3323.9199257046
(-4.132813,-1.741255,12.02378),3323.93992570415
(-4.186726,-1.763968,12.18063),3323.9599257037
(-4.186727,-1.763968,12.18064),3323.97992570326
(-4.293837,-1.809096,12.49226),3323.99992570281
(-4.293838,-1.809096,12.49226),3324.01992570236
(-4.455092,-1.877037,12.9614),3324.03992570192
(-4.455093,-1.877037,12.96141),3324.05992570147
(-4.562359,-1.922231,13.27348),3324.07992570102
(-4.56236,-1.922231,13.27348),3324.09992570058
(-4.669752,-1.967477,13.58592),3324.11992570013
(-4.723539,-1.990138,13.74241),3324.13992569968
(-4.830655,-2.035268,14.05404),3324.15992569923
(-4.830657,-2.035268,14.05404),3324.17992569879
(-4.937991,-2.08049,14.36632),3324.19992569834
(-4.991948,-2.103223,14.5233),3324.21992569789
(-5.098985,-2.14832,14.8347),3324.23992569745
(-5.098986,-2.14832,14.83471),3324.259925697
(-5.206514,-2.193624,15.14754),3324.27992569655
(-5.260138,-2.216217,15.30356),3324.2999256961
(-5.260139,-2.216217,15.30356),3324.31992569566
(-5.367509,-2.261455,15.61594),3324.33992569521
