(0,0,0),72.6399983763695
(0,0,0),72.6599983759224
(0,0,0),72.6799983754754
(0,0,0),72.6999983750284
(0,0,0),72.7199983745813
(0,0,0),72.7399983741343
(0,0,0),72.7599983736873
(0,0,0),72.7799983732402
(0,0,0),72.7999983727932
(0,0,0),72.8199983723462
(0,0,0),72.8399983718991
(0,0,0),72.8599983714521
(0,0,0),72.8799983710051
(0,0,0),72.899998370558
(0,0,0),72.919998370111
(0,0,0),72.939998369664
(-0.107267,-0.04519463,0.3120773),72.9599983692169
(-0.107267,-0.04519463,0.3120773),72.9799983687699
(-0.214587,-0.09041119,0.624307),72.9999983683228
(-0.2683992,-0.1130838,0.7808657),73.0199983678758
(-0.2683992,-0.1130838,0.7808657),73.0399983674288
(-0.4292418,-0.1808519,1.248812),73.0599983669817
(-0.4292418,-0.1808519,1.248812),73.0799983665347
(-0.5367109,-0.2261314,1.561477),73.0999983660877
(-0.536711,-0.2261314,1.561478),73.1199983656406
(-0.6440389,-0.2713518,1.873731),73.1399983651936
(-0.7512808,-0.3165369,2.185737),73.1599983647466
(-0.7512809,-0.3165369,2.185738),73.1799983642995
(-0.8587154,-0.3618021,2.498301),73.1999983638525
(-0.9123363,-0.3843946,2.654304),73.2199983634055
(-0.9660596,-0.4070292,2.810603),73.2399983629584
(-1.019781,-0.4296637,2.966899),73.2599983625114
(-1.127313,-0.4749699,3.279747),73.2799983620644
(-1.180934,-0.4975624,3.435751),73.2999983616173
(-1.234623,-0.5201836,3.591953),73.3199983611703
(-1.288244,-0.5427761,3.747958),73.3399983607233
(-1.395563,-0.5879927,4.060187),73.3599983602762
(-1.449185,-0.6105852,4.216193),73.3799983598292
(-1.449186,-0.6105852,4.216195),73.3999983593822
(-1.5566,-0.6558418,4.528701),73.4199983589351
(-1.610221,-0.6784344,4.684705),73.4399983584881
(-1.717581,-0.7236671,4.99705),73.459998358041
(-1.717582,-0.7236671,4.997052),73.479998357594
(-1.825006,-0.7689276,5.309585),73.499998357147
(-1.878627,-0.7915201,5.46559),73.5199983566999
(-1.878628,-0.7915201,5.465592),73.5399983562529
(-2.03959,-0.8593369,5.933885),73.5599983558059
(-2.03959,-0.8593369,5.933887),73.5799983553588
(-2.146876,-0.9045391,6.246017),73.5999983549118
(-2.146877,-0.9045391,6.246019),73.6199983544648
(-2.146877,-0.9045391,6.246019),73.6399983540177
(-2.361737,-0.9950657,6.871122),73.6599983535707
(-2.41536,-1.017658,7.027129),73.6799983531237
(-2.415361,-1.017658,7.027132),73.6999983526766
(-2.522745,-1.062902,7.33955),73.7199983522296
(-2.576369,-1.085495,7.495557),73.7399983517826
(-2.630159,-1.108158,7.65205),73.7599983513355
(-2.737448,-1.153361,7.96419),73.7799983508885
(-2.791185,-1.176001,8.120527),73.7999983504415
(-2.791185,-1.176001,8.120529),73.8199983499944
(-2.898444,-1.221191,8.432581),73.8399983495474
(-2.952066,-1.243784,8.588587),73.8599983491004
(-3.059533,-1.289062,8.901245),73.8799983486533
(-3.059534,-1.289062,8.901249),73.8999983482063
(-3.166848,-1.334276,9.213465),73.9199983477592
(-3.22047,-1.356869,9.369472),73.9399983473122
(-3.274323,-1.379558,9.526146),73.9599983468652
(-3.381614,-1.424762,9.838293),73.9799983464181
(-3.435237,-1.447354,9.994301),73.9999983459711
(-3.435238,-1.447354,9.994304),74.0199983455241
(-3.542614,-1.492595,10.3067),74.039998345077
(-3.64995,-1.537817,10.61897),74.05999834463
(-3.649951,-1.537817,10.61897),74.079998344183
(-3.757295,-1.583044,10.93128),74.0999983437359
(-3.810917,-1.605637,11.08728),74.1199983432889
(-3.810918,-1.605637,11.08729),74.1399983428419
(-3.972004,-1.673507,11.55594),74.1599983423948
(-4.025686,-1.696124,11.71212),74.1799983419478
(-4.025687,-1.696124,11.71213),74.1999983415008
(-4.133036,-1.741353,12.02444),74.2199983410537
(-4.186659,-1.763946,12.18045),74.2399983406067
(-4.240281,-1.786538,12.33646),74.2599983401597
(-4.347757,-1.83182,12.64914),74.2799983397126
(-4.347758,-1.83182,12.64914),74.2999983392656
(-4.455089,-1.877041,12.96141),74.3199983388186
(-4.508815,-1.899676,13.11771),74.3399983383715
(-4.616116,-1.944884,13.42988),74.3599983379245
