008,Timestep,x,y,z
0,0.0,0.54,-9.14,-20.47
1,0.01999999955300069,0.5400158056253667,-9.140013351439286,-20.392616959999998
2,0.03999999910599428,0.5400447193244691,-9.139999046324974,-20.37713882
3,0.05999999865889549,0.5400265754513692,-9.139995231624216,-20.3740451
4,0.07999999821189618,0.5400002500897115,-9.140024795533217,-20.373425219999998
5,0.09999999776489688,0.5399839805991052,-9.139999046329185,-20.373303149999998
6,0.11999999731779809,0.5399577690079403,-9.14002861023986,-20.37327835
7,0.13999999687079878,0.5399735818179756,-9.140054359437643,-20.37327263
8,0.15999999642379947,0.5399577371410852,-9.140028610233015,-20.37327263
9,0.1799999959767007,0.5399735981494609,-9.140054359441121,-20.37327263
10,0.19999999552969427,0.5399577373573861,-9.140028610229276,-20.37327263
11,0.21999999508269497,0.5399735981218259,-9.140054359447147,-20.37327263
12,0.23999999463559618,0.5399577373519836,-9.140028610237692,-20.37327263
13,0.2599999941885969,0.5399296365932407,-9.140020027171303,-20.37327263
14,0.27999999374159756,0.5399293922002038,-9.140020027170147,-20.37327263
15,0.2999999932944988,0.5399065523399419,-9.140034332282845,-20.37327263
16,0.31999999284749947,0.539913044441132,-9.140055313124929,-20.37327263
17,0.3399999924004007,0.5398902460900423,-9.140069618255367,-20.37327263
18,0.35999999195339427,0.5398967425983864,-9.140090599062896,-20.37327263
19,0.37999999150639496,0.5398976840718582,-9.140091552730926,-20.37327263
20,0.3999999910592962,0.5399138837200904,-9.140116348257735,-20.37327263
21,0.41999999061229687,0.5399225003910074,-9.140121116673235,-20.37327263
22,0.43999999016529756,0.5399225572031251,-9.140121116663963,-20.37327263
23,0.4599999897181988,0.5399225439934094,-9.140121116620682,-20.37327263
24,0.47999998927119947,0.5399225437262317,-9.140121116686824,-20.37327263
25,0.49999998882420016,0.5398972666589876,-9.140151634191344,-20.37327263
26,0.5199999883770943,0.5399058709604336,-9.140156402627658,-20.37327263
27,0.539999987930095,0.5399229637189124,-9.140182151789503,-20.37327263
28,0.5599999874830957,0.5399388641870053,-9.140207901042446,-20.37327263
29,0.5799999870359969,0.5399389894817567,-9.140207901029703,-20.37327263
30,0.5999999865889976,0.5399390391809569,-9.140207900969706,-20.37327263
31,0.6199999861419982,0.5399390394369435,-9.140207901015213,-20.37327263
32,0.6399999856948995,0.5399390098058195,-9.140207901005791,-20.37327263
33,0.6599999852479002,0.5399391721071122,-9.140213623073535,-20.37327263
34,0.6799999848009008,0.5399391737209529,-9.140213623040099,-20.37327263
35,0.699999984353795,0.539939262159802,-9.140216484058975,-20.37327263
36,0.7199999839067956,0.539939262981786,-9.140216484111344,-20.37327263
37,0.7399999834596969,0.5399392628351957,-9.140216484136069,-20.37327263
38,0.7599999830126976,0.5399347100431168,-9.140207900999634,-20.37327263
39,0.7799999825656982,0.5399346663426786,-9.14020790098925,-20.37327263
40,0.7999999821185995,0.5399351609926277,-9.140211715711434,-20.37327263
41,0.8199999816716002,0.5399346041165998,-9.140200271595576,-20.37327263
42,0.8399999812246008,0.5399345979916111,-9.140200271584922,-20.37327263
43,0.859999980777495,0.5399345987967648,-9.140200271626485,-20.37327263
44,0.8799999803304956,0.5399345988051799,-9.140200271631887,-20.37327263
45,0.8999999798834963,0.5399345988051799,-9.140200271631887,-20.37327263
46,0.9199999794363976,0.5399345988051799,-9.140200271631887,-20.37327263
47,0.9399999789893982,0.5399345988051799,-9.140200271631887,-20.37327263
48,0.9599999785423989,0.5399345988051799,-9.140200271631887,-20.37327263
49,0.9799999780953002,0.5399345988051799,-9.140200271631887,-20.37327263
50,0.9999999776483008,0.5399345988051799,-9.140200271631887,-20.37327263
51,1.0199999772012944,0.5399345988051799,-9.140200271631887,-20.37327263
52,1.0399999767541956,0.5399345988051799,-9.140200271631887,-20.37327263
53,1.0599999763071963,0.5399345988051799,-9.140200271631887,-20.37327263
54,1.079999975860197,0.5559256885183373,-9.139162671535358,-20.37327263
55,1.0999999754130982,0.5798519495285338,-9.137579567536454,-20.37327263
56,1.119999974966099,0.6197730196798027,-9.134897833307866,-20.37327263
57,1.1399999745190996,0.6596860190519037,-9.13227331740697,-20.37327263
58,1.1599999740720008,0.7077253573923923,-9.133005711517447,-20.37327263
59,1.1799999736249944,0.7716873840606467,-9.135323133738883,-20.37327263
60,1.1999999731778956,0.8356543646421103,-9.13764246479345,-20.37327263
61,1.2199999727308963,0.9386900171053574,-9.151744499089357,-20.37327263
62,1.239999972283897,1.0417173635321042,-9.165842627011287,-20.37327263
63,1.2599999718367982,1.1447358594079504,-9.179950283718489,-20.37327263
64,1.279999971389799,1.2477637960060295,-9.194040828653025,-20.37327263
65,1.2999999709427996,1.366049651976668,-9.21448761211286,-20.37327263
66,1.3199999704957008,1.4896482562850655,-9.247857653477325,-20.37327263
67,1.3399999700486944,1.6271578529553279,-9.29065951573111,-20.37327263
68,1.3599999696016951,1.7646679015312825,-9.333463450611545,-20.37327263
69,1.3799999691545963,1.9894407707290716,-9.417519018772634,-20.37327263
70,1.399999968707597,2.212297703913851,-9.506624711311801,-20.37327263
71,1.4199999682605977,2.4351571280720465,-9.595765395350671,-20.37327263
72,1.439999967813499,2.657977036285752,-9.684908398900506,-20.37327263
73,1.4599999673664996,2.8806373916657533,-9.774423950411355,-20.37327263
74,1.4799999669195003,3.103289500330621,-9.863924582080063,-20.37327263
75,1.4999999664723944,3.3258276413069847,-9.953806349755963,-20.37327263
76,1.519999966025395,3.548361848761559,-10.043710903774402,-20.37327263
77,1.5399999655783958,3.770895894144038,-10.133615710246074,-20.37327263
78,1.559999965131297,3.9934149417633575,-10.223529069910148,-20.37327263
79,1.5799999646842977,4.215944891551951,-10.313456915177596,-20.37327263
80,1.5999999642372984,4.438494312865813,-10.403352579399321,-20.37327263
