018,Timestep,x,y,z
0,0.0,0.54,-9.14,-20.47
1,0.019999999552965164,0.5400158056253667,-9.140013351439286,-20.392616959999998
2,0.03999999910593033,0.5400345419413733,-9.140030517573903,-20.37713882
3,0.05999999865900918,0.5400489611486912,-9.14003337859985,-20.3740451
4,0.07999999821197434,0.5400608655494784,-9.140024795527763,-20.373425219999998
5,0.09999999776493951,0.540060956766889,-9.140024795526958,-20.373303149999998
6,0.11999999731801836,0.54005568356655,-9.14001716613518,-20.37327835
7,0.13999999687098352,0.5400348272303156,-9.140003814691548,-20.37327263
8,0.1599999964239487,0.5400460619063391,-9.139998092643623,-20.37327263
9,0.17999999597702754,0.5400462031264144,-9.139998092646923,-20.37327263
10,0.1999999955299927,0.5400461865023205,-9.13999809264573,-20.37327263
11,0.21999999508295787,0.5400224241369918,-9.139973297113327,-20.37327263
12,0.23999999463592303,0.5400364014915218,-9.139951362599943,-20.37327263
13,0.2599999941890019,0.5400605869964554,-9.139963760367339,-20.37327263
14,0.27999999374196705,0.5400607968098394,-9.139963760366923,-20.37327263
15,0.2999999932949322,0.54008062705666,-9.13996948241945,-20.37327263
16,0.31999999284801106,0.5400808170891229,-9.13996948241137,-20.37327263
17,0.3399999924009762,0.5400915706269948,-9.139972343437988,-20.37327263
18,0.3599999919539414,0.5401093823072111,-9.139957084652899,-20.37327263
19,0.37999999150599706,0.5401204451609045,-9.139927520753172,-20.37327263
20,0.3999999910589622,0.5400927106587714,-9.139955177301584,-20.37327263
21,0.4199999906119274,0.5401061000191274,-9.139938011142837,-20.37327263
22,0.43999999016500624,0.5401062729173921,-9.139938011150695,-20.37327263
23,0.4599999897179714,0.5401062531509115,-9.139938011176067,-20.37327263
24,0.47999998927093657,0.5401062527146743,-9.139938011133676,-20.37327263
25,0.4999999888240154,0.5401277383459259,-9.139948501556974,-20.37327263
26,0.5199999883769806,0.5401279445813089,-9.139948501576784,-20.37327263
27,0.5399999879299457,0.5401080304041218,-9.139936103825395,-20.37327263
28,0.5599999874830246,0.5400979941579847,-9.139958038321739,-20.37327263
29,0.5799999870359898,0.5400979296810392,-9.13995803831812,-20.37327263
30,0.5999999865889549,0.5401219214356361,-9.139963760363868,-20.37327263
31,0.6199999861419201,0.5401070594751276,-9.139965667718743,-20.37327263
32,0.6399999856949989,0.5401218525370962,-9.139963760361766,-20.37327263
33,0.6599999852479641,0.5401331639263623,-9.139962806682437,-20.37327263
34,0.6799999848009293,0.5401332488577536,-9.139962806662666,-20.37327263
35,0.6999999843540081,0.5401211990149118,-9.139947547902786,-20.37327263
36,0.7199999839069733,0.5401159538980976,-9.139963760358649,-20.37327263
37,0.7399999834599384,0.5560459661874688,-9.138376845414445,-20.37327263
38,0.7599999830130173,0.5719761790337649,-9.136789929672792,-20.37327263
39,0.7799999825659825,0.5958411468026088,-9.13434852047347,-20.37327263
40,0.7999999821189476,0.6355819011718069,-9.130332597925516,-20.37327263
41,0.8199999816720265,0.6753693432318502,-9.12628617377558,-20.37327263
42,0.8399999812249916,0.7390294098001366,-9.119822138670829,-20.37327263
43,0.8599999807779568,0.8026954908079742,-9.113359100870888,-20.37327263
44,0.879999980330922,0.8822854855115463,-9.105302429583974,-20.37327263
45,0.8999999798840008,0.9618691833908842,-9.09724575616002,-20.37327263
46,0.919999979436966,1.0493994410604686,-9.08832795533548,-20.37327263
47,0.9399999789899312,1.1528543758344916,-9.077836618715551,-20.37327263
48,0.9599999785419868,1.2643043297113463,-9.066545092327283,-20.37327263
49,0.979999978094952,1.3916302521776445,-9.053604672459434,-20.37327263
50,0.9999999776480308,1.5190033162535213,-9.04065375694266,-20.37327263
51,1.019999977200996,1.6543253090184413,-9.02693224141518,-20.37327263
